index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
1055,ts88394,Moving Art,SHOW,2014,,28,"['documentation', 'family']",US,3,tt6953912,8.6,442
1056,ts58010,VeggieTales in the House,SHOW,2014,TV-G,18,"['comedy', 'family', 'music', 'animation']",US,4,tt3692064,4.3,300
1057,tm182969,Dabbe: The Possession,MOVIE,2013,,120,['horror'],US,,tt3069758,6.8,5635
1058,tm148910,Haider,MOVIE,2014,PG-13,150,"['drama', 'action', 'crime', 'thriller']",US,,tt3390572,8.1,54001
1059,tm143363,2 States,MOVIE,2014,PG,149,"['comedy', 'drama', 'romance']",US,,tt2372678,6.9,25344
1060,tm139617,Dragons: Dawn Of The Dragon Racers,MOVIE,2014,,26,['fantasy'],US,,,,
1061,ts83239,Booba,SHOW,2014,,4,"['comedy', 'family', 'animation']",US,4,tt6581428,7,390
1062,ts16117,20 Minutes,SHOW,2013,TV-MA,45,"['action', 'drama', 'romance']",GB,1,tt2544148,7.3,1681
1063,tm158671,A Fairly Odd Summer,MOVIE,2014,G,68,"['fantasy', 'animation', 'comedy', 'family']",GB,,tt3149536,4,533
1064,tm165504,Blind Detective,MOVIE,2013,,130,"['crime', 'drama', 'thriller', 'action', 'comedy']",US,,tt2332707,6.4,3255
1065,tm148662,The Boss: Anatomy of a Crime,MOVIE,2014,,98,"['drama', 'crime']",GB,,tt3854234,7.3,2105
1066,ts154625,Dérapages,SHOW,2014,,53,"['drama', 'thriller']",US,2,tt12101170,7.9,14
1067,ts76743,Dokidoki! PreCure,SHOW,2013,TV-G,23,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'family']",US,2,tt4621212,6.3,188
1068,tm158980,Khoobsurat,MOVIE,2014,PG,130,"['comedy', 'romance']",US,,tt3554418,6.5,8330
1069,tm148597,Monty Python: Live (Mostly),MOVIE,2014,R,138,"['comedy', 'documentation']",US,,tt3872778,7.6,2598
1070,ts57744,Miniforce,SHOW,2014,TV-Y7,13,['animation'],US,8,,,
1071,tm145791,Miss Granny,MOVIE,2014,,124,"['drama', 'comedy', 'fantasy', 'music']",US,,tt3516378,7.2,3433
1072,tm155291,Highway,MOVIE,2014,PG-13,133,"['drama', 'crime', 'romance']",US,,tt2980794,7.6,28370
1073,tm156811,Queen,MOVIE,2014,PG-13,146,"['drama', 'comedy']",GB,,tt3322420,8.2,64805
1074,tm150033,Expelled from Paradise,MOVIE,2014,,104,"['scifi', 'animation', 'action']",GB,,tt2859246,6.7,1696
1075,ts75833,Masha's Spooky Stories,SHOW,2014,TV-Y,5,"['animation', 'family']",US,1,tt4570676,6.1,65
1076,tm180802,LEGO Marvel Super Heroes: Maximum Overload,MOVIE,2013,PG,20,"['action', 'animation']",GB,,,,
1077,ts3799,All Hail King Julien,SHOW,2014,TV-Y7,23,"['action', 'comedy', 'family', 'fantasy', 'animation']",US,5,tt3807022,7,2008
1078,ts35628,Some Assembly Required,SHOW,2014,TV-G,25,"['comedy', 'documentation', 'reality']",US,4,tt1160042,8.5,22
1079,ts20781,Incomplete Life,SHOW,2014,TV-14,73,"['drama', 'comedy']",US,1,tt4240730,8.6,1883
1080,tm151210,Jim Gaffigan: Obsessed,MOVIE,2014,,70,"['comedy', 'documentation']",US,,tt3481550,7.6,2226
1081,tm149578,Mission Blue,MOVIE,2014,PG,94,"['documentation', 'drama']",US,,tt2004304,7.9,1950
1082,tm182534,From One Second to the Next,MOVIE,2013,,34,['documentation'],US,,,,
1083,tm360904,The Meaning of Monty Python,MOVIE,2013,,60,['documentation'],US,,,,
1084,tm186054,ABCD,MOVIE,2013,PG-13,136,"['drama', 'music']",GB,,tt2321163,6.3,6898
1085,tm235553,Pedal the World,MOVIE,2014,,84,"['documentation', 'european']",GB,,tt6020164,5,1057
